__id;Geo Point;Geo Shape;gml_id;objectid;id_voie;nom_voie;code_insee;nom_commune;type;nom;domaine;surface;nb_pl;categorie;payant;handicape;commentaire;projet_final;tranche_icu;potentiel_photovoltaique;audiar_score_simple;planification
49;48.10537841004687, -1.8721867881536436;"{""coordinates"": [[-1.872186788153644, 48.10537841004687]], ""type"": ""MultiPoint""}";v_parking.5462;5462;3028;Place du Chêne Vert;35080;Cintré;Parking usuel;;Public intercommunal;150;7;Moins de 50 places;Non;Oui;;Dérogation économique (score < 5);Non renseigné;Non renseigné;;Non renseigné
51;48.121774083899986, -1.864737173384103;"{""coordinates"": [[-1.864737173384103, 48.121774083899986]], ""type"": ""MultiPoint""}";v_parking.5470;5470;24233;Inconnu Mode doux non dénommé;35065;la Chapelle-Thouarault;Parking usuel;;Public intercommunal;170;10;Moins de 50 places;Non;Oui;PVROG signé le 21/11/2023;Non renseigné;Non renseigné;Non renseigné;;Non renseigné
52;48.1200585093631, -1.865365467858564;"{""coordinates"": [[-1.865365467858564, 48.1200585093631]], ""type"": ""MultiPoint""}";v_parking.5476;5476;4171;Rue du Clos de la Saudrais;35065;la Chapelle-Thouarault;Parking usuel;;Public intercommunal;180;11;Moins de 50 places;Non;Oui;"bataille sur voie ; PVROG signé le 21/11/2023";Non renseigné;Non renseigné;Inférieur à 36 kWc;3;Non renseigné
53;48.123838988358, -1.8673498575213336;"{""coordinates"": [[-1.867349857521334, 48.123838988358]], ""type"": ""MultiPoint""}";v_parking.5486;5486;2745;Rue de la Chesnaie;35065;la Chapelle-Thouarault;Parking usuel;;Public intercommunal;170;10;Moins de 50 places;Non;Non renseigné;;Dérogation économique (score < 5);Non renseigné;Inférieur à 36 kWc;4;Non renseigné
57;48.126438293051116, -1.806004179258159;"{""coordinates"": [[-1.806004179258159, 48.126438293051116]], ""type"": ""MultiPoint""}";v_parking.5522;5522;3172;Rue Pierre Guihard;35131;l'Hermitage;Parking usuel;;Public intercommunal;640;22;Moins de 50 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 2°;Non renseigné;;Non renseigné
60;48.123845211741745, -1.8141387965513642;"{""coordinates"": [[-1.814138796551364, 48.123845211741745]], ""type"": ""MultiPoint""}";v_parking.5529;5529;3123;Place Aristide Briand;35131;l'Hermitage;Parking usuel;;Public intercommunal;500;16;Moins de 50 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 3°;Inférieur à 36 kWc;4;Non renseigné
62;48.17766334784712, -1.6313540099261394;"{""coordinates"": [[-1.631354009926139, 48.17766334784712]], ""type"": ""MultiPoint""}";v_parking.5553;5553;5876;Allée de la Cressonnière;35024;Betton;Parking usuel;;Public intercommunal;75;5;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 2°;Ensoleillement insuffisant;0;Non renseigné
63;48.151834379190866, -1.7902689246015493;"{""coordinates"": [[-1.790268924601549, 48.151834379190866]], ""type"": ""MultiPoint""}";v_parking.5555;5555;4928;Rue de Slimnic;35210;Pacé;Parking usuel;;Public intercommunal;200;12;Moins de 50 places;Non renseigné;Non renseigné;bataille sur voie;Dérogation économique (score < 5);Inférieur à 3°;Non renseigné;;Non renseigné
64;48.154602336000885, -1.791193084870214;"{""coordinates"": [[-1.791193084870214, 48.154602336000885]], ""type"": ""MultiPoint""}";v_parking.5563;5563;4809;Rue des Badiers;35210;Pacé;Parking usuel;;Public intercommunal;300;8;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
65;48.1503426007179, -1.7827721925832778;"{""coordinates"": [[-1.782772192583278, 48.1503426007179]], ""type"": ""MultiPoint""}";v_parking.5566;5566;4876;Chemin Louis Tiercelin;35210;Pacé;Parking usuel;;Public intercommunal;45;4;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
67;48.152333828975955, -1.7615767028098575;"{""coordinates"": [[-1.761576702809857, 48.152333828975955]], ""type"": ""MultiPoint""}";v_parking.5586;5586;4844;Rue de la Garenne;35210;Pacé;Parking usuel;;Public intercommunal;165;7;Moins de 50 places;Non renseigné;Non renseigné;épi sur voie;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
69;48.15439201608034, -1.7616583187554813;"{""coordinates"": [[-1.761658318755481, 48.15439201608034]], ""type"": ""MultiPoint""}";v_parking.5596;5596;4844;Rue de la Garenne;35210;Pacé;Parking usuel;;Public intercommunal;215;7;Moins de 50 places;Non;Non renseigné;épi sur voie;Dérogation économique (score < 5);Inférieur à 3°;Inférieur à 36 kWc;3;Non renseigné
70;48.153883422949185, -1.7655827213646471;"{""coordinates"": [[-1.765582721364647, 48.153883422949185]], ""type"": ""MultiPoint""}";v_parking.5599;5599;4937;Allée du Vivier;35210;Pacé;Parking usuel;;Public intercommunal;330;10;Moins de 50 places;Non;Non;longitudinal sur voie;Dérogation économique (score < 5);Inférieur à 3°;Inférieur à 36 kWc;4;Non renseigné
71;48.15473913753363, -1.7663224077242696;"{""coordinates"": [[-1.76632240772427, 48.15473913753363]], ""type"": ""MultiPoint""}";v_parking.5600;5600;4827;Allée de la Châtaigneraie;35210;Pacé;Parking usuel;;Public intercommunal;100;7;Moins de 50 places;Non;Non renseigné;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
72;48.15641491749705, -1.763389808538453;"{""coordinates"": [[-1.763389808538453, 48.15641491749705]], ""type"": ""MultiPoint""}";v_parking.5608;5608;4892;Rue de la Motte;35210;Pacé;Parking usuel;;Public intercommunal;260;10;Moins de 50 places;Non renseigné;Non renseigné;;Dérogation économique (score < 5);Inférieur à 3°;Non renseigné;;Non renseigné
73;48.151722057041106, -1.8267072617469469;"{""coordinates"": [[-1.826707261746947, 48.151722057041106]], ""type"": ""MultiPoint""}";v_parking.5617;5617;5343;Impasse de la Résidence;35275;Saint-Gilles;Parking usuel;;Public intercommunal;40;3;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Non renseigné;;Non renseigné
77;48.17908945467947, -1.8544412404373327;"{""coordinates"": [[-1.854441240437333, 48.17908945467947]], ""type"": ""MultiPoint""}";v_parking.5641;5641;4391;Allée des Magnolias;35081;Clayes;Parking usuel;;Public intercommunal;90;8;Moins de 50 places;Non;Non;pas de marquages;Dérogation enjeu biodiversité;Non renseigné;Ensoleillement insuffisant;0;Non renseigné
81;48.17697959913418, -1.8557033884649217;"{""coordinates"": [[-1.855703388464922, 48.17697959913418]], ""type"": ""MultiPoint""}";v_parking.5659;5659;4367;Allée des Saules;35081;Clayes;Parking usuel;;Public intercommunal;60;4;Moins de 50 places;Non;Non;bataille sur voie;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
82;48.17690932858215, -1.8564735263212109;"{""coordinates"": [[-1.856473526321211, 48.17690932858215]], ""type"": ""MultiPoint""}";v_parking.5660;5660;4374;Allée des Chênes;35081;Clayes;Parking usuel;;Public intercommunal;60;4;Moins de 50 places;Non;Non;bataille sur voie;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
83;48.091839233366656, -1.6235260554833142;"{""coordinates"": [[-1.623526055483314, 48.091839233366656]], ""type"": ""MultiPoint""}";v_parking.5663;5663;256;Rue René Cassin;35055;Chantepie;Parking usuel;;Public intercommunal;60;4;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
84;48.19277461143419, -1.8297410967401153;"{""coordinates"": [[-1.829741096740115, 48.19277461143419]], ""type"": ""MultiPoint""}";v_parking.5684;5684;5792;Rond-point;35216;Parthenay-de-Bretagne;Parking usuel;;Public intercommunal;70;4;Moins de 50 places;Non;Non;bataille sur voie;Dérogation enjeu biodiversité;Non renseigné;Ensoleillement insuffisant;0;Non renseigné
85;48.08459869624479, -1.6063551669512237;"{""coordinates"": [[-1.606355166951224, 48.08459869624479]], ""type"": ""MultiPoint""}";v_parking.5693;5693;150;Mail Camille Claudel;35055;Chantepie;Parking usuel;;Public intercommunal;725;27;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
86;48.19353852494168, -1.8309599742899065;"{""coordinates"": [[-1.830959974289907, 48.19353852494168]], ""type"": ""MultiPoint""}";v_parking.5696;5696;5240;Rue de la Prée;35216;Parthenay-de-Bretagne;Parking usuel;;Public intercommunal;195;14;Moins de 50 places;Non;Non renseigné;bataille sur voie;Dérogation économique (score < 5);Non renseigné;Inférieur à 36 kWc;2;Non renseigné
87;48.19283163951878, -1.8366880681888178;"{""coordinates"": [[-1.836688068188818, 48.19283163951878]], ""type"": ""MultiPoint""}";v_parking.5704;5704;5699;Rue du Grand Clos;35216;Parthenay-de-Bretagne;Parking usuel;130;Public intercommunal;236;8;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Inférieur à 36 kWc;3;Non renseigné
88;48.08603533309155, -1.6180095036806637;"{""coordinates"": [[-1.618009503680664, 48.08603533309155]], ""type"": ""MultiPoint""}";v_parking.5712;5712;24228;Inconnu Mode doux non dénommé;35055;Chantepie;Parking usuel;;Public intercommunal;65;6;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
89;48.08513180328113, -1.6165228567111558;"{""coordinates"": [[-1.616522856711156, 48.08513180328113]], ""type"": ""MultiPoint""}";v_parking.5717;5717;243;Rue des Petits Champs;35055;Chantepie;Parking usuel;;Public intercommunal;85;4;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 4°;Ensoleillement insuffisant;0;Non renseigné
90;48.08484316917212, -1.6002957660149448;"{""coordinates"": [[-1.600295766014945, 48.08484316917212]], ""type"": ""MultiPoint""}";v_parking.5719;5719;287;Mail Félix Leclerc;35055;Chantepie;Parking usuel;;Public intercommunal;305;11;Moins de 50 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 2°;Ensoleillement insuffisant;0;Non renseigné
94;48.224683392399, -1.8039346808193382;"{""coordinates"": [[-1.803934680819338, 48.224683392399]], ""type"": ""MultiPoint""}";v_parking.5737;5737;4506;Rue Simone Veil;35120;Gévezé;Parking usuel;;Public intercommunal;200;12;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Inférieur à 36 kWc;4;Non renseigné
96;48.21813199224304, -1.7917461324088024;"{""coordinates"": [[-1.791746132408802, 48.21813199224304]], ""type"": ""MultiPoint""}";v_parking.5747;5747;19654;Square du Morbihan;35120;Gévezé;Parking usuel;;Public intercommunal;135;9;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Inférieur à 36 kWc;4;Non renseigné
99;48.22616080099621, -1.801220419540417;"{""coordinates"": [[-1.801220419540417, 48.22616080099621]], ""type"": ""MultiPoint""}";v_parking.5762;5762;4503;Allée Madame de Sévigné;35120;Gévezé;Parking usuel;;Public intercommunal;500;20;Moins de 50 places;Non;Oui;;Dérogation enjeu biodiversité;Non renseigné;Ensoleillement insuffisant;0;Non renseigné
100;48.21623320349819, -1.788122623962058;"{""coordinates"": [[-1.788122623962058, 48.21623320349819]], ""type"": ""MultiPoint""}";v_parking.5763;5763;4426;Place des Béniguets;35120;Gévezé;Parking usuel;;Public intercommunal;85;6;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
101;48.21441074124413, -1.8924010403538987;"{""coordinates"": [[-1.892401040353899, 48.21441074124413]], ""type"": ""MultiPoint""}";v_parking.5772;5772;19522;Rue Anne Macé;35245;Romillé;Parking usuel;;Public intercommunal;90;5;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
103;48.153687045287825, -1.7157449269040561;"{""coordinates"": [[-1.715744926904056, 48.153687045287825]], ""type"": ""MultiPoint""}";v_parking.5793;5793;4726;Rue Jean Jaurès;35189;Montgermont;Parking usuel;;Public intercommunal;120;8;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
104;48.15428222272872, -1.7146522546808474;"{""coordinates"": [[-1.714652254680847, 48.15428222272872]], ""type"": ""MultiPoint""}";v_parking.5795;5795;4706;Rue du Chêne Micault;35189;Montgermont;Parking usuel;;Public intercommunal;140;8;Moins de 50 places;Non;Non;épis sur voie;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
107;48.15485471121918, -1.7125004044834682;"{""coordinates"": [[-1.712500404483468, 48.15485471121918]], ""type"": ""MultiPoint""}";v_parking.5810;5810;4741;Allée du Parc;35189;Montgermont;Parking usuel;;Public intercommunal;70;5;Moins de 50 places;Non;Non;bataille sur voie;Dérogation économique (score < 5);Inférieur à 3°;Non renseigné;;Non renseigné
111;48.154597804325746, -1.7226186606037455;"{""coordinates"": [[-1.722618660603745, 48.154597804325746]], ""type"": ""MultiPoint""}";v_parking.5827;5827;21630;Allée Jacques Briard;35189;Montgermont;Parking usuel;;Public intercommunal;160;5;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Inférieur à 36 kWc;3;Non renseigné
113;48.08744159861989, -1.6043846669144852;"{""coordinates"": [[-1.604384666914485, 48.08744159861989]], ""type"": ""MultiPoint""}";v_parking.5833;5833;2692;Avenue d'Orient;35055;Chantepie;Parking usuel;;Public intercommunal;1105;24;Moins de 50 places;Non;Oui;;Dérogation enjeu biodiversité;Inférieur à 2°;De 36 à 100 kWc;6;Non renseigné
114;48.102461518286255, -1.6646410117416988;"{""coordinates"": [[-1.664641011741699, 48.102461518286255]], ""type"": ""MultiPoint""}";v_parking.5841;5841;9247;Rue Pierre Martin;35238;Rennes;Parking usuel;;Public intercommunal;400;9;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 4°;Ensoleillement insuffisant;0;Non renseigné
115;47.97804654504182, -1.7267360540210666;"{""coordinates"": [[-1.726736054021067, 47.97804654504182]], ""type"": ""MultiPoint""}";v_parking.5844;5844;8143;Rue de l'Horizon;35139;Laillé;Parking usuel;;Public intercommunal;65;5;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Non renseigné;Ensoleillement insuffisant;0;Non renseigné
116;48.13867701149067, -1.6693098494264142;"{""coordinates"": [[-1.669309849426414, 48.13867701149067]], ""type"": ""MultiPoint""}";v_parking.5866;5866;6404;Rue de Crozon;35278;Saint-Grégoire;Parking usuel;;Public intercommunal;45;4;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
117;48.14722849287693, -1.681685675896524;"{""coordinates"": [[-1.681685675896524, 48.14722849287693]], ""type"": ""MultiPoint""}";v_parking.5880;5880;6505;Rue du Pressoir Godier;35278;Saint-Grégoire;Parking usuel;;Public intercommunal;365;12;Moins de 50 places;Non;Non;;Dérogation enjeu biodiversité;Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
118;48.147058832496676, -1.6560535967070242;"{""coordinates"": [[-1.656053596707024, 48.147058832496676]], ""type"": ""MultiPoint""}";v_parking.5883;5883;6333;Allée du 1er Août 1944;35278;Saint-Grégoire;Parking usuel;;Public intercommunal;60;4;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 2°;Ensoleillement insuffisant;0;Non renseigné
121;48.22405311523471, -1.5726450626544273;"{""coordinates"": [[-1.572645062654427, 48.22405311523471]], ""type"": ""MultiPoint""}";v_parking.5893;5893;6701;Résidence Plein Soleil;35315;Saint-Sulpice-la-Forêt;Parking usuel;;Public intercommunal;60;4;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 1°;Ensoleillement insuffisant;0;Non renseigné
122;48.28598186396328, -1.9330209718835918;"{""coordinates"": [[-1.933020971883592, 48.28598186396328]], ""type"": ""MultiPoint""}";v_parking.5896;5896;19170;la Croix Courte;35180;Miniac-sous-Bécherel;Parking usuel;cimetière;Public intercommunal;357;10;Moins de 50 places;Non;Oui;pas de marquages;Dérogation enjeu biodiversité;Non renseigné;Non renseigné;;Non renseigné
123;48.29500301696201, -1.9447220273724217;"{""coordinates"": [[-1.944722027372422, 48.29500301696201]], ""type"": ""MultiPoint""}";v_parking.5906;5906;19203;Place des Anciennes Halles;35022;Bécherel;Parking usuel;;Public intercommunal;60;3;Moins de 50 places;Non;Oui;épi sur voie;Dérogation économique (score < 5);Non renseigné;Non renseigné;;Non renseigné
127;48.116410472316694, -1.6563493518900392;"{""coordinates"": [[-1.656349351890039, 48.116410472316694]], ""type"": ""MultiPoint""}";v_parking.6082;6082;8758;Boulevard Alexis Carrel;35238;Rennes;Parking usuel;Boulevard Alexis Carrel;Public intercommunal;550;21;Moins de 50 places;Non;Oui;Voie en impasse;Dérogation économique (score < 5);Inférieur à 5°;Ensoleillement insuffisant;0;Non renseigné
128;48.119108504036525, -1.6852622545271947;"{""coordinates"": [[-1.685262254527195, 48.119108504036525]], ""type"": ""MultiPoint""}";v_parking.6089;6089;9645;Boulevard Maréchal de Lattre de Tassigny;35238;Rennes;Parking usuel;;Public intercommunal;985;19;Moins de 50 places;Oui;Non;;Dérogation contrainte d'urbanisme;Inférieur à 5°;Ensoleillement insuffisant;0;Non renseigné
129;48.10637831864836, -1.6873541266310963;"{""coordinates"": [[-1.687354126631096, 48.10637831864836]], ""type"": ""MultiPoint""}";v_parking.6090;6090;8873;Rue de Redon;35238;Rennes;Parking usuel;;Public intercommunal;1255;44;Moins de 50 places;Oui;Oui;;Dérogation ICU +4°;Inférieur à 6°;Inférieur à 36 kWc;5;Non renseigné
130;48.090386364274885, -1.6386803045187035;"{""coordinates"": [[-1.638680304518704, 48.090386364274885]], ""type"": ""MultiPoint""}";v_parking.6104;6104;8568;Rue Victor Schoelcher;35238;Rennes;Parking usuel;;Public intercommunal;1000;50;De 50 à 100 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 4°;Inférieur à 36 kWc;4;Non renseigné
131;48.090719000691685, -1.6416747985698845;"{""coordinates"": [[-1.641674798569885, 48.090719000691685]], ""type"": ""MultiPoint""}";v_parking.6105;6105;8978;Rue René-Yves Creston;35238;Rennes;Parking usuel;;Public intercommunal;925;29;Moins de 50 places;Non;Oui;;Dérogation enjeu biodiversité;Inférieur à 4°;Ensoleillement insuffisant;0;Non renseigné
132;48.09918634735197, -1.653162687741664;"{""coordinates"": [[-1.653162687741664, 48.09918634735197]], ""type"": ""MultiPoint""}";v_parking.6108;6108;8578;Boulevard Léon Bourgeois;35238;Rennes;Parking usuel;;Public intercommunal;310;10;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 5°;Ensoleillement insuffisant;0;Non renseigné
133;48.13293084924877, -1.6569302079749757;"{""coordinates"": [[-1.656930207974976, 48.13293084924877]], ""type"": ""MultiPoint""}";v_parking.6110;6110;9656;Rue Professeurs Alphonse et Abel Pellé;35238;Rennes;Parking usuel;;Public intercommunal;235;9;Moins de 50 places;Non;Non;;Dérogation économique (score < 5);Inférieur à 4°;Ensoleillement insuffisant;0;Non renseigné
134;48.134319738264, -1.6524636145763878;"{""coordinates"": [[-1.652463614576388, 48.134319738264]], ""type"": ""MultiPoint""}";v_parking.6112;6112;9791;Square de Tanouarn;35238;Rennes;Parking usuel;;Public intercommunal;4680;134;De 100 à 250 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 3°;Ensoleillement insuffisant;0;Non renseigné
135;48.13622334585386, -1.67064665721188;"{""coordinates"": [[-1.67064665721188, 48.13622334585386]], ""type"": ""MultiPoint""}";v_parking.6120;6120;9447;Rue François-Désiré Roulin;35238;Rennes;Parking usuel;;Public intercommunal;270;11;Moins de 50 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 4°;Ensoleillement insuffisant;0;Non renseigné
136;48.13677285393789, -1.6672853159902787;"{""coordinates"": [[-1.667285315990279, 48.13677285393789]], ""type"": ""MultiPoint""}";v_parking.6126;6126;18152;Rond-point;35238;Rennes;Parking usuel;;Public intercommunal;1880;7;Moins de 50 places;Non;Oui;;Dérogation économique (score < 5);Inférieur à 4°;Ensoleillement insuffisant;0;Non renseigné
137;48.12513882742194, -1.6607713019652441;"{""coordinates"": [[-1.660771301965244, 48.12513882742194]], ""type"": ""MultiPoint""}";v_parking.6131;6131;9991;Rue Charles-Marie Widor;35238;Rennes;Parking usuel;;Public intercommunal;490;10;Moins de 50 places;Non;Non;Voie en impasse;Dérogation économique (score < 5);Inférieur à 5°;Ensoleillement insuffisant;0;Non renseigné
138;48.10859019272676, -1.6961433851192504;"{""coordinates"": [[-1.69614338511925, 48.10859019272676]], ""type"": ""MultiPoint""}";v_parking.6134;6134;9648;Mail François Mitterrand;35238;Rennes;Parking usuel;;Public intercommunal;425;17;Moins de 50 places;Oui;Non;;Dérogation contrainte d'urbanisme;Inférieur à 5°;Inférieur à 36 kWc;3;Non renseigné
